,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
0,1.1525380708598142e-18,1.777097692094438e-18,3.1878405447496e-17,9.208623156019351e-16,1.7970272601702457e-15,1.6537708195428696e-18,2.554203184008948e-18,4.569030979840116e-17,1.3325173947848416e-15,2.612193843032873e-15,1.1603085089531175e-18,1.7934212055760296e-18,3.239817246043185e-17,1.0438577164772426e-15,2.001825143699405e-15,1.6631457910835744e-18,2.5735857198413106e-18,4.631533363212436e-17,1.4815814485445105e-15,2.854676657175157e-15,0.5281620049692636,0.546404740106218,0.6015517422699937,0.6114669811801577,0.6124140580842036,0.8756534040192876,0.9021888812458474,0.9795993504517331,0.9936399387957224,0.9949667894260024,0.6055924710896807,0.6066765317789613,0.6092953429051514,0.6120262041880227,0.6133578713310174,0.9851210409463157,0.98669061622307,0.9904415512707289,0.9943783625448747,0.9962679403618545,2.750715326509743e-17,49.21879379578601,-15.832743650476013,21.755644664384313,1.4805575833144076,17.512561836001748,8.956896489384938,-7.883245624787778,,,,,1.0203015179756256,1214.1109659501556,8.083556832748126e-16,7.97974006528283e-17,0.0
1,1.4280260210640873e-18,2.2008732769745578e-18,3.9509766773390197e-17,1.1351372924791706e-15,2.217466982607865e-15,1.7543293273412435e-18,2.7077449506905364e-18,4.849375126903494e-17,1.4107325036542667e-15,2.7612106234116152e-15,1.438080601819375e-18,2.2219874542591027e-18,4.018285250942357e-17,1.296319134287712e-15,2.484539247065473e-15,1.7649528838355333e-18,2.730084863237455e-18,4.9202781875120864e-17,1.5777804549585088e-15,3.0352611812099577e-15,0.6277676132988327,0.6504223782238933,0.7190587186342944,0.731400052827559,0.7325811025094592,0.8673966173572685,0.8953814949697269,0.9782454576898492,0.9932077412451744,0.9946283107363334,0.7241369148481726,0.7254876094394661,0.7287163860843215,0.7321079757744273,0.7337629520667395,0.9842079348754544,0.9858534920492688,0.9898493438217567,0.9940177470917172,0.9960309208895385,4.3992890986478554e-17,55.220879495657364,-15.59789882096237,33.82048819865516,8.689636576811505,17.602580011135352,10.216732133879471,-2.2631567401119588,,,,,1.1298812203000896,1214.1644506615878,5.845007268933831e-16,8.387989187360403e-17,0.0
2,1.6548094089038655e-18,2.5488520286113995e-18,4.580108951291865e-17,1.306038793562377e-15,2.5552656102603618e-15,1.8642343501130147e-18,2.8753641016277197e-18,5.155901453171936e-17,1.4956031861204394e-15,2.9175016957721456e-15,1.6671345020531718e-18,2.574721678503527e-18,4.662702239766906e-17,1.506480956328716e-15,2.8857128480871933e-15,1.876320975595612e-18,2.9007682579654734e-18,5.2366607200501705e-17,1.6839192424698688e-15,3.233548792582163e-15,0.6893827976989843,0.7159284989881586,0.7957240666324601,0.8101120636961848,0.8114924654396062,0.8582643291002934,0.8878549835243891,0.9767445957978393,0.9927299981560331,0.994254542440851,0.8016835787968022,0.8032929318243871,0.8069999008853564,0.8109555593963045,0.812881105685514,0.9832086785244559,0.9849602928988416,0.9892005161281813,0.9936211054362731,0.9957703640850437,7.748217216195466e-16,58.109653468203575,-14.260125257710714,74.56346042889558,29.52182258017386,18.085592135635835,14.059078425517717,18.252467059726964,,,,,1.3313768109909718,1214.21793537302,5.032949964688504e-16,1.5966642924369106e-16,0.0
3,1.8562031422356798e-18,2.8569904713373976e-18,5.1396015273375134e-17,1.4518204962139101e-15,2.846582957468923e-15,1.984664437844946e-18,3.0588064403302547e-18,5.4919072520404326e-17,1.5800462960820328e-15,3.0860679471076766e-15,1.8709578448941353e-18,2.8879418118385516e-18,5.2385955003476714e-17,1.6957057358893857e-15,3.245922460197124e-15,1.9984742931213207e-18,3.0878173778060438e-18,5.584290681747761e-17,1.8008122984721343e-15,3.4519328581474765e-15,0.7266013629390906,0.7567938965570072,0.8465733674190666,0.862813057624191,0.8643773972345283,0.8480649430886386,0.8796040119078953,0.9750534348167368,0.9922000809316777,0.9938404046017022,0.8533117194127305,0.855202381867898,0.8593438413679053,0.8637901965595248,0.8659605133809034,0.982110480384311,0.9839814456131355,0.9884766044310125,0.993183446412123,0.9954830132273628,2.0693323494711378e-14,60.55840158871706,-11.994728861931288,89.7666621107331,87.90781032528115,18.765700015777213,16.778385209610356,27.388458887065266,,,,,1.681362551527012,1214.2714200844523,1.5813303697160688e-15,1.2301275365669626e-17,0.0
4,2.055354531068777e-18,3.160942758783121e-18,5.693372120478485e-17,1.590173637056667e-15,3.1264224330334084e-15,2.1169866693701297e-18,3.2600912819702357e-18,5.861211831528111e-17,1.6698239312720211e-15,3.2681017945817918e-15,2.0728939159847334e-18,3.197711348940914e-18,5.811206243586958e-17,1.885180605504924e-15,3.6056713704278165e-15,2.13283733028029e-18,3.2933707234037235e-18,5.96738066340346e-17,1.9280780543653976e-15,3.693225609147785e-15,0.751849483963809,0.7858154762768009,0.8856306023817803,0.90371376146102,0.9054706990466516,0.8367349062226744,0.8708924246121155,0.9731716911619893,0.9916101101387458,0.9933798694049577,0.893200194277879,0.8953413669776394,0.8999226050283562,0.9048390361426706,0.9072553003806905,0.9808255165509938,0.9828986618150036,0.9876392980332374,0.992698878025658,0.9951650213206714,3.476645819718742e-14,61.78226503626938,-11.69462679576472,95.02218527142328,112.8366989528796,18.8767724846511,18.117176333129546,29.705340207090668,,,,,1.78625516911042,1214.3249047958845,1.4778937120954013e-15,4.8364398879205686e-17,0.0
5,2.254905360874286e-18,3.4646393785475274e-18,6.248694219836608e-17,1.7288396105919107e-15,3.3968556340886477e-15,2.2627932261040406e-18,3.481563089534304e-18,6.268255278241569e-17,1.7656813313793273e-15,3.4649540504800373e-15,2.2756959927410697e-18,3.5081909467496965e-18,6.388575630746897e-17,2.0769327195262507e-15,3.9703438495053746e-15,2.2810749921043382e-18,3.5199235675841205e-18,6.390869629117893e-17,2.069407563047806e-15,3.96074936360691e-15,0.7663217489603168,0.8035241512787266,0.9138197814389108,0.9337811898319581,0.9357430156745616,0.8241466884347909,0.8613857874154351,0.9711047369904992,0.9909506533538859,0.992865740759896,0.9222592780704961,0.9246651328626051,0.929695347365071,0.9350733587875667,0.9377399377398019,0.9793721551798664,0.9816961175998559,0.9867445331321858,0.9921604036498133,0.9948118161090598,,,,,,,,,,,,,,1214.3783895073168,1.2424105147599943e-15,4.715552068899885e-16,0.0
6,2.4589536759481134e-18,3.7742150168945725e-18,6.805046196472158e-17,1.863924179960528e-15,3.661547793595346e-15,2.423946270660996e-18,3.725954381803882e-18,6.718218533163433e-17,1.8703562374813093e-15,3.677450401236138e-15,2.4836160566459703e-18,3.8258327416980585e-18,6.983023057460315e-17,2.2767557042262398e-15,4.3481132377945624e-15,2.4451423106205597e-18,3.7704008238008555e-18,6.860576550442591e-17,2.2267957973923877e-15,4.2584518202562844e-15,0.7709990415334798,0.8114104175641038,0.9327198521833232,0.9546391080146815,0.9568215324143091,0.8102515294033907,0.8503852994311711,0.9688050497883718,0.9902008581493346,0.9922893717171215,0.9420883313165505,0.9447901612759676,0.9502589405114897,0.9561294888487526,0.9590470837582361,0.9778165602946639,0.9803680094406517,0.9857678322589871,0.9915596618695286,0.9944179270768754,,,,,,,,,,,,,,1214.431874218749,1.4437600865050377e-15,2.1880031273467877e-16,0.0
7,2.6758116797309034e-18,4.1022514301048884e-18,7.390896613656352e-17,1.9978328904852743e-15,3.944784090787463e-15,2.602633264231164e-18,3.996462762293408e-18,7.21140597080518e-17,1.99020939819232e-15,3.906666837480618e-15,2.7051932460979938e-18,4.163686398498681e-18,7.61894711271843e-17,2.492719068196424e-15,4.754815713378019e-15,2.6273463850572903e-18,4.048247594350111e-18,7.383392727284646e-17,2.401680626315123e-15,4.591052975547258e-15,0.7691134257140932,0.8125798725181518,0.9460451475730058,0.9701363433476352,0.9725649185397964,0.794952773532245,0.838116594274404,0.9662212565261542,0.9893537976712132,0.9916402976381113,0.9565244467609602,0.9595375100536488,0.9654538354455005,0.9718584223693265,0.9750448565198294,0.9760739453277018,0.9788924859136435,0.9846853359729792,0.9908920888530198,0.9939767614585024,,,,,,,,,,,,,,1214.4853589301813,3.0805240627622606e-15,8.854328768020729e-16,0.0
8,2.910279977129907e-18,4.456267770682118e-18,8.019856775672173e-17,2.1341340743311527e-15,4.230616738937418e-15,2.8014354396703654e-18,4.296845227233912e-18,7.749171743696692e-17,2.1109237710207684e-15,4.160403662036154e-15,2.9455112446227074e-18,4.52940169470677e-18,8.311319901052758e-17,2.7306712046275827e-15,5.2007979058374816e-15,2.8304240365844855e-18,4.357542374282038e-18,7.967524124915115e-17,2.5993368492849516e-15,4.964233992791957e-15,0.7615727279777391,0.8083416662444786,0.9548406795346737,0.9815253243689523,0.9842227973623718,0.7777432781827803,0.8237636761135397,0.9633048605161005,0.9883920947598726,0.9909057607767587,0.9668346227237912,0.9701129815274014,0.9765360091338894,0.9835151020164834,0.9869904913151921,0.9741165295743232,0.9772369373063601,0.9834507114194166,0.9901497656267615,0.9934803109652646,,,,,,,,,,,,,,1214.5388436416135,2.8191247637499835e-15,6.62319033192693e-16,0.0
9,3.1564399206103294e-18,4.827242107315518e-18,8.673745852010489e-17,2.2602432465502257e-15,4.510703971326785e-15,3.0234129838878687e-18,4.631732617121316e-18,8.34684016978065e-17,2.2467903395406557e-15,4.441335073977789e-15,3.1994079990646132e-18,4.915251938010027e-18,9.04682609972914e-17,2.9878773515610903e-15,5.681277452521057e-15,3.0576398008341752e-18,4.703139477785552e-18,8.62279883680246e-17,2.8228204686232337e-15,5.3848823153032764e-15,0.7433145019114754,0.7938513552517455,0.9538458491967443,0.983433106062773,0.9864279689010088,0.7584092614681786,0.8075859262488924,0.9598526082815317,0.9872958790908534,0.9900700792752406,0.9676824019372128,0.9710991023501832,0.978202997350746,0.9857359919342612,0.9895197427522441,0.9719727816269218,0.9753999678501314,0.9820606989456302,0.9893151957734901,0.9929187630198598,,,,,,,,,,,,,,1214.5923283530458,1.4676726155817297e-15,5.191132640621246e-16,0.0
