,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
0,2.1286870748294679e-19,2.568325164842248e-19,3.059604415480744e-19,3.630250490174023e-19,4.450315850356657e-19,3.037849945392916e-19,3.6724679628181306e-19,4.386733873775188e-19,5.218708289424584e-19,6.440511582477004e-19,2.90108741661764e-19,3.538882714120708e-19,4.268056562990751e-19,5.126733234060714e-19,6.418712189068014e-19,3.7899634305266787e-19,4.622384095023774e-19,5.573467040218964e-19,6.696142307311431e-19,8.384461729859953e-19,0.4274464221622483,0.44165746836779085,0.4554283335634776,0.46953399501858156,0.48487641008406096,0.7489599366283386,0.7678412020349866,0.7865346607187798,0.8057275678148142,0.8267734585362962,0.6158575630247454,0.6158988046515761,0.6159199427520698,0.6159368256332917,0.6159536948336553,0.9998437103711191,0.9998974280564861,0.9999250073835638,0.9999470673320328,0.999969120748673,8.358802421153795e-19,10.78977778758293,-12.9809125955708,1.0242268098149614,4.115978896157092,18.72871203428857,10.419000636977088,-22.233871052018408,,,,,1.0746352842952367,1214.5388436416135,2.744750486891408e-15,6.62319033192693e-16,0.0
1,2.635685930698101e-19,3.177639448747048e-19,3.7832128018749926e-19,4.484846763787045e-19,5.485389138279448e-19,3.2505617331542203e-19,3.928983221984406e-19,4.68840485763464e-19,5.572653925283912e-19,6.867602409820864e-19,3.686978304631761e-19,4.498104623101237e-19,5.425125480816623e-19,6.518726617400844e-19,8.158865223141856e-19,4.1540682682251817e-19,5.068648506354764e-19,6.111729040133437e-19,7.341913707044631e-19,9.191764421062514e-19,0.4989428331860666,0.5168973388528698,0.5341755253585373,0.5518908887830422,0.5711832386444645,0.7255442308040297,0.7462806147832458,0.7666880406813616,0.7875149746793422,0.8104193900703522,0.7368627151403863,0.7369151515973522,0.736942012145727,0.7369634698085893,0.736984898775516,0.9998286121896386,0.9998875289477449,0.9999177748361006,0.9999419504662236,0.9999661347073974,1.03816123400203e-18,12.624628940460614,-12.927901962168118,1.0897210710581045,11.069642428818456,18.78170938605659,12.86494020364738,-16.368896151785236,,,,,1.2340940101777427,1214.5923283530458,1.393141137622106e-15,5.191132640621246e-16,0.0
2,3.0444576257836393e-19,3.66814720253011e-19,4.362022271131832e-19,5.166281819391113e-19,6.299813214150773e-19,3.479598197951258e-19,4.203675214325939e-19,5.011710932400911e-19,5.951779705763814e-19,7.315307525284634e-19,4.422751646799033e-19,5.396033172991916e-19,6.506440757901421e-19,7.817983121370606e-19,9.784639501490031e-19,4.576113252177953e-19,5.582679841110918e-19,6.731744361864091e-19,8.086420458884998e-19,1.0124904117133979e-18,0.5339925631113699,0.5552722100671187,0.5755721852600062,0.596447137652995,0.6190252672562432,0.6989602139815175,0.7218031083229185,0.7440731576724312,0.7668686768538718,0.7916585202047476,0.8164768991501388,0.8165399895287729,0.8165722342056734,0.8165979686841183,0.8166236540584921,0.9998112710945791,0.999876121444225,0.999909434211682,0.9999360730480825,0.999962697569193,1.2578435366305153e-18,14.684757751995217,-12.861992068421245,1.1715780734693704,18.789735274868498,18.82385480493429,15.119119424245653,-10.857089177516796,,,,,1.401269050103962,1214.645813064478,1.1769423240454843e-15,2.962102427366678e-16,0.0
3,3.386333847251039e-19,4.07834451065242e-19,4.8463391548770985e-19,5.734311472529804e-19,6.9662307631215165e-19,3.72564467249732e-19,4.495760594752263e-19,5.355495198082119e-19,6.353189664926315e-19,7.785364645055754e-19,5.177097822539801e-19,6.314391813694819e-19,7.61367429618451e-19,9.149725239344207e-19,1.1449374667329097e-18,5.064941418390878e-19,6.178391855604675e-19,7.451561391650777e-19,8.951083272962887e-19,1.1206239560936676e-18,0.5444004545092099,0.5687556012011297,0.5918537205592004,0.6155366319671512,0.6414242516357189,0.6685713948137258,0.6939120055819005,0.7182690104638831,0.7431829097745505,0.7702228358472364,0.8699986305656084,0.8700729097679821,0.8701107057014319,0.8701407813371197,0.8701708348336928,0.9997908898778638,0.9998628644078076,0.999899754634715,0.9999292224709548,0.9999586715346969,1.5190720214843805e-18,16.791621986610892,-12.78961380122562,1.2660690676134934,27.08071133041055,18.860599218285167,17.263511819423993,-5.071462843141681,,,,,1.5669378071891507,1214.6992977759103,9.273953013661344e-16,4.2298565482453105e-16,0.0
4,3.690220822651167e-19,4.445536451647927e-19,5.277972386582918e-19,6.234113556654207e-19,7.540857046098367e-19,3.98484929761932e-19,4.802157188765608e-19,5.715421689538149e-19,6.771161766223473e-19,8.267601631955088e-19,6.031944511024674e-19,7.351652657299643e-19,8.865363892260807e-19,1.0652103010140987e-18,1.333514745304541e-18,5.635571709787929e-19,6.875319116438201e-19,8.292832067093542e-19,9.964951334490613e-19,1.2470148892764347e-18,0.5406164841787258,0.5681930284484382,0.5941214536138649,0.6206143047071726,0.6496845191075378,0.6338800806165467,0.6619455287447684,0.6886442194577946,0.716015715076565,0.7455913798153098,0.9117305561282164,0.9118190337706176,0.9118632633396111,0.9118982626616892,0.9119331882406208,0.999767182200667,0.9998473867762336,0.9998884399231327,0.9999212250029538,0.9999539823676116,1.8744166083733355e-18,18.926602183932523,-12.700344484882661,1.3895706403218486,36.798597823873095,18.88954328798982,19.199918706510932,1.066146175460838,,,,,1.7263857556711686,1214.7527824873425,2.8603425617832644e-15,2.674980558562242e-16,0.0
5,3.9413147389929103e-19,4.744696000880241e-19,5.623998960187293e-19,6.635760739445236e-19,7.989281297269164e-19,4.250692286553394e-19,5.119377727536091e-19,6.084609921812314e-19,7.20061614700323e-19,8.751022629987529e-19,7.072003727325557e-19,8.6169778288146795e-19,1.0378868079275762e-18,1.247415990331064e-18,1.561884039507872e-18,6.310863267544967e-19,7.699637065765462e-19,9.284335811176222e-19,1.1157758057473825e-18,1.3962793369017562e-18,0.5231828161634187,0.5536417799303298,0.582243879363409,0.6116502271855097,0.6438434349468729,0.59415507640029,0.6253271716818546,0.6546398855387122,0.68457441124165,0.7172320765724205,0.9426463876215172,0.9427567665816198,0.9428105065740859,0.942851616313347,0.9428922396786256,0.9997392325961193,0.9998290823254733,0.9998751007863709,0.9999117934862243,0.999948453620785,,,,,,,,,,,,,,1214.8062671987748,5.309716803194995e-15,7.66517540721775e-16,0.0
6,4.111037242087464e-19,4.964611819965484e-19,5.881010545809361e-19,6.931243025426785e-19,8.300333295824314e-19,4.50819862173642e-19,5.433874694592089e-19,6.451857278443481e-19,7.620423009013823e-19,9.217554290890572e-19,8.609834030398761e-19,1.051275063101847e-18,1.2668770462486587e-18,1.5227299287415731e-18,1.900653685146339e-18,7.112360761636923e-19,8.680338688666575e-19,1.046715517360118e-18,1.2579663647708674e-18,1.5742000981625012e-18,0.4941271706843798,0.5270030328823279,0.5579507896417377,0.5898384123134828,0.6247646668319827,0.5487288035821014,0.5832705753961971,0.6154645179380893,0.6483465585037586,0.684181705051297,0.964370654692739,0.9645145709261226,0.9645873929976525,0.964640917501462,0.9646909125310801,0.9997058621106161,0.9998073421607028,0.9998592380623741,0.9999005517865099,0.9999418429322853,,,,,,,,,,,,,,1214.859751910207,4.560959018632477e-15,4.780504432124652e-16,0.0
7,4.2223302110352304e-19,5.1126995960784215e-19,6.055151197285498e-19,7.128706510097513e-19,8.494681191432382e-19,4.75297060944727e-19,5.726631344865069e-19,6.792908625043832e-19,8.010462095961751e-19,9.638202111975144e-19,1.1238965012019174e-18,1.376925863036635e-18,1.664203818852266e-18,2.0050387343054933e-18,2.5234907699228917e-18,8.081288181969744e-19,9.86029831710502e-19,1.1893204386988647e-18,1.4293007216488922e-18,1.789310441339177e-18,0.4561703292931687,0.49140427390308977,0.524571579636482,0.5586752424763791,0.5960756842264273,0.4965851477897825,0.5347625571671372,0.5701985258785074,0.6062964864824496,0.6457479759399044,0.9807631260166966,0.980960716256169,0.9810587694681243,0.9811274176591943,0.9811881127806443,0.9996651592385203,0.9997811149141083,0.9998401125244106,0.9998870242133368,0.9999338970492058,,,,,,,,,,,,,,1214.9132366216393,5.117876027180624e-15,3.5654639017061243e-16,0.0
8,4.2529802670470356e-19,5.163295613191417e-19,6.121864139862215e-19,7.2049317748732845e-19,8.539777335564942e-19,4.931044994268377e-19,5.967371821388666e-19,7.071851564313469e-19,8.329931754598972e-19,9.949011879123812e-19,1.5165042307158559e-18,1.883266396672117e-18,2.2874623147958514e-18,2.7692163187572017e-18,3.4979459503939376e-18,9.262717963494945e-19,1.1296834754121705e-18,1.363155328926896e-18,1.6382894488713449e-18,2.05240765557444e-18,0.41065091211351157,0.44776880220189713,0.48288765319932325,0.5190134661377258,0.5586968697757344,0.43743467344888576,0.47924332595470415,0.5179978612352751,0.5575545174145373,0.6007613630798104,0.9930514673016647,0.9933458283072811,0.9934927831220253,0.9935960654225062,0.993683115429272,0.9996157273062164,0.9997491105538914,0.9998168545487365,0.9998705343056989,0.9999241625526959,,,,,,,,,,,,,,1214.9667213330715,4.5295478600925855e-15,9.675199466911553e-16,0.0
9,4.1437745642978585e-19,5.071298450750879e-19,6.029996482950683e-19,7.101938872808886e-19,8.372502508738948e-19,5.012039956135168e-19,6.1014730005356675e-19,7.241440536494144e-19,8.5218253627774e-19,1.0087825300212296e-18,2.1062410057993383e-18,2.687214359138538e-18,3.3264856735162794e-18,4.079796420069417e-18,5.2040045115361936e-18,1.0723660924206064e-18,1.3075363903445558e-18,1.5780967413874267e-18,1.8971805343378376e-18,2.376582243538936e-18,0.3542842647093159,0.39256324085900945,0.42888722083272257,0.46629403588876556,0.5080699820564232,0.3705660624033823,0.4159704870205708,0.4581723588549953,0.5011515743628059,0.5482583728722645,0.9957762155502303,0.9962390166259636,0.9964869805159358,0.9966504475627266,0.996772806740696,0.9995554164442867,0.9997094136657763,0.9997880741943657,0.9998501522476161,0.9999121046218328,,,,,,,,,,,,,,1215.0202060445038,2.8883765897948477e-15,1.4617968925763004e-15,0.0
