,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
0,7.94533101187098e-20,1.1442136161850752e-18,1.9308454930891208e-18,2.7206681868439394e-18,3.757706583745313e-18,7.959175082128852e-20,1.8263332929495008e-18,3.177813165839593e-18,4.507130721379023e-18,6.276915133196977e-18,1.0729463192622221e-19,1.3583459855378421e-18,2.335007983892746e-18,3.377795419669466e-18,4.8834608292927065e-18,9.42801247616892e-20,2.08533297921391e-18,3.686935941018723e-18,5.333591651266864e-18,7.717601075086235e-18,0.4434706295026915,0.47822852443560476,0.5104278510681981,0.5377403567579485,0.5639223708954448,0.7704467939088372,0.8181860945030127,0.8617920759691404,0.8981746454460084,0.9327021847588401,0.17614078980482437,0.21326410133969775,0.26566692817706494,0.3868923503469293,0.6143990236558096,0.30216524767383196,0.3672003715930229,0.4622814817317429,0.6836502136445142,0.9985733764241637,1.711499523054833e-18,-6.3032172719212385,-14.958590612531234,1.3207713672405863,127.19482707061343,18.294722166200554,9.876370373229697,-26.685964571412875,,,,,1.1170536687802726,1214.5388436416135,2.8191247637499835e-15,6.62319033192693e-16,0.0
1,1.0561003315488951e-19,1.3738990777248782e-18,2.301288597060769e-18,3.239903116030947e-18,4.481263277869553e-18,9.37356340172104e-20,1.86556135943188e-18,3.1907515584837326e-18,4.5101632276182434e-18,6.255014253386177e-18,1.5056258093106145e-19,1.6493282846713532e-18,2.8154150187955887e-18,4.075500248403722e-18,5.8988761441856586e-18,1.1124075898448332e-19,2.161127031468497e-18,3.759321503572558e-18,5.4449371801514676e-18,7.889449167051173e-18,0.5191334489137789,0.562703352911327,0.603039012116277,0.6374849364584735,0.6706375705971328,0.7489660209299063,0.8008686374460716,0.8483677790880149,0.8881059889961815,0.9260429858001435,0.207081481214544,0.2505213765482816,0.3108755791717665,0.45117879392235366,0.7347919154174627,0.2921402296198949,0.3544413374047646,0.4435361612193652,0.6527363426818329,0.9983427647601946,3.962336431762302e-18,3.5374771824918483,-14.84671337215902,2.3102221135596364,420.6292585986747,18.48169973052082,12.244492670003517,-18.231653114833744,,,,,1.2906479100818409,1214.5923283530458,1.4676726155817297e-15,5.191132640621246e-16,0.0
2,1.3441186528219193e-19,1.5205135139024787e-18,2.527090311765303e-18,3.5540507122822005e-18,4.899914679378709e-18,1.0989847848900791e-19,1.8871542364377356e-18,3.1869207471655818e-18,4.498534643179653e-18,6.247660459810742e-18,2.0076238295281931e-19,1.8630336888134735e-18,3.150135379367252e-18,4.5636836458598816e-18,6.625520733637286e-18,1.3313748413140076e-19,2.21807004296728e-18,3.824062131353554e-18,5.5390802592016095e-18,8.007783606079323e-18,0.5577376167224678,0.6089261764100944,0.6564719231736753,0.6971914367821739,0.7366816843928994,0.7247344269166331,0.7811006026410877,0.8329952048135216,0.8765445328402193,0.9182825009109625,0.22450828973627346,0.2711633505562808,0.33506370451970957,0.48310234942048336,0.8135509147997176,0.2826856634230308,0.34213063747116107,0.42547214343413964,0.6214001362503155,0.99807565697971,6.20786802832607e-18,13.43423465946719,-14.716697085992262,3.594717607229704,623.1301803454486,18.622732061765966,14.520798144175712,-8.56909755190286,,,,,1.451074291438182,1214.645813064478,1.2516310031061552e-15,2.962102427366678e-16,0.0
3,1.687159359198661e-19,1.6140532317690424e-18,2.6574461217913277e-18,3.730421104569727e-18,5.111774077837879e-18,1.2784799164759247e-19,1.8940440415632335e-18,3.1649449994241134e-18,4.464516630750989e-18,6.153399705441522e-18,2.656096585420513e-19,2.025405905471072e-18,3.3883024867684463e-18,4.916687925028183e-18,7.178672385468136e-18,1.5994709566973092e-19,2.278050568378311e-18,3.880354196901759e-18,5.6269804958561565e-18,8.199264577074315e-18,0.5711085991392233,0.6295265411769676,0.6837183347563006,0.730378605146142,0.7762582175241989,0.6971413700447141,0.7584015122250262,0.8150652141600221,0.8631178273065379,0.909041359296817,0.2336958678419451,0.2816036403748257,0.3464647503941653,0.49471426393406287,0.8658373341967126,0.2734133288242707,0.3302845820623557,0.40803748099715714,0.5905805888909589,0.9977308145890107,8.613179941071508e-18,23.308756423480695,-14.578350750461412,5.003023351349081,799.2731471683876,18.75264084902155,16.772512602740544,1.0438082248995153,,,,,1.6054331760707883,1214.6992977759103,1.0022411815278533e-15,4.2298565482453105e-16,0.0
4,2.049861082213934e-19,1.6735955399795377e-18,2.7293540488823534e-18,3.827156160075944e-18,5.2150431997617296e-18,1.5099708402324432e-19,1.895735933952792e-18,3.124567076758114e-18,4.400404983346317e-18,6.047748692412233e-18,3.625137261923777e-19,2.1580851297158454e-18,3.579820127364338e-18,5.202122388194253e-18,7.635250953103388e-18,1.968226693432143e-19,2.333936892351121e-18,3.928286794171558e-18,5.716782050925185e-18,8.380664649936561e-18,0.5702827423553912,0.6355729915821234,0.696635515880909,0.7495568637769143,0.8020827490917064,0.6652103272330092,0.7324601359956997,0.7943613176699904,0.8473521665207601,0.8983317662321173,0.23910876034823222,0.28742876884696233,0.35191395513363444,0.49734941953604905,0.9053715690464388,0.2646351661028898,0.3187772687688276,0.39131951109324575,0.5590957891767755,0.9972835327386019,1.1741325463251582e-17,33.62594027054314,-14.404213959707725,6.828349939312603,946.985321107163,18.862345399878347,19.00375042973348,11.383457787826227,,,,,1.7429045814811766,1214.7527824873425,2.9353456430460312e-15,1.1091815568038089e-16,0.0
5,2.504072378934036e-19,1.6981362207919382e-18,2.741041638438648e-18,3.8404396265321205e-18,5.212414756371453e-18,1.7928321048529079e-19,1.8783729645887293e-18,3.0563617433136846e-18,4.307729510495855e-18,5.904863738398138e-18,5.003385493704154e-19,2.26170875532516e-18,3.729243784716835e-18,5.432684051909616e-18,7.99397373036644e-18,2.4732367901654636e-19,2.3771328599981907e-18,3.966623135379601e-18,5.796109671222679e-18,8.546808772523865e-18,0.5555087062362937,0.6275089295057946,0.6948019631977747,0.7541876759204996,0.8139031183491451,0.6282998802386568,0.7022123059143158,0.770438042669497,0.8287959966471022,0.8855757393640388,0.2408393636380546,0.28935180061538873,0.3523445476491567,0.4909053346581313,0.9328615480313339,0.2562052588115188,0.3079952701939186,0.37565672672263883,0.5278775744080717,0.9965957296802446,,,,,,,,,,,,,,1214.8062671987748,5.384877085558808e-15,7.66517540721775e-16,0.0
6,3.047725754496574e-19,1.6860574989312652e-18,2.696796355447663e-18,3.771051524351162e-18,5.111520971931907e-18,2.281768876112446e-19,1.8416830437998923e-18,2.964487723603283e-18,4.1796331723354036e-18,5.714218159531311e-18,6.702468105085707e-19,2.3555758200364705e-18,3.83864586607081e-18,5.614004109497513e-18,8.271240036581431e-18,3.233809007146976e-19,2.418755228943704e-18,3.997027837603653e-18,5.866798410112259e-18,8.64946515717784e-18,0.5287882507990018,0.6064498675707474,0.6792569140576998,0.7450507496203584,0.8121670649453431,0.5857838093011465,0.667063115014883,0.7420474643048933,0.8068767252101943,0.8706216069897322,0.2399865591375869,0.2880274884663471,0.34890337260101223,0.47902469025508765,0.9497725220658405,0.2480045233050831,0.2978454173773058,0.3608349555230105,0.49797243280535153,0.9955560120107637,,,,,,,,,,,,,,1214.859751910207,4.636276502097339e-15,4.780504432124652e-16,0.0
7,3.5199365137917685e-19,1.6449342899274995e-18,2.609215296585606e-18,3.644138987672939e-18,4.923590666113094e-18,2.96999582109819e-19,1.7902827728139456e-18,2.8467420606527512e-18,4.017293241702931e-18,5.468179411661056e-18,8.323969056406098e-19,2.4198381364094175e-18,3.928185039249036e-18,5.764454663491358e-18,8.526308002369436e-18,4.2646196048757924e-19,2.452014072805759e-18,4.027859491771369e-18,5.927707541945659e-18,8.803586263516136e-18,0.4928074118187975,0.5751949351321636,0.653563454295979,0.7251887837053137,0.7999533525102972,0.5371132401640789,0.6259455778263213,0.7085062654059946,0.7806039376564149,0.8525630644762506,0.23771331944095306,0.2848250193802831,0.3431464646671193,0.46417670079451057,0.9585859732006583,0.2403730598063879,0.28793064262945556,0.3467740598932501,0.4699947539091118,0.9938432895708201,,,,,,,,,,,,,,1214.9132366216393,5.193350711746534e-15,3.5654639017061243e-16,0.0
8,4.001780776681401e-19,1.573016143534089e-18,2.4793935075356895e-18,3.4623425818136944e-18,4.635339671751413e-18,3.8493090469800996e-19,1.7084557786264673e-18,2.698135226917326e-18,3.801867124739721e-18,5.131241675235555e-18,1.005363630671737e-18,2.475585251942034e-18,3.997727419579018e-18,5.891768954486442e-18,8.769848624753907e-18,5.767284962049941e-19,2.473467369274546e-18,4.043840120181004e-18,6.001878348726879e-18,8.952333039202382e-18,0.44883709863208915,0.5347929646170437,0.6185196222382168,0.6959547939678047,0.7795737696273268,0.4808586582254825,0.5780282001862971,0.6684162246988036,0.7490293534509223,0.8302162220111132,0.2345575114374504,0.28029645362954947,0.336081772762579,0.4474290883531541,0.9600904591979925,0.23320064783629385,0.2785304771350093,0.33353446870187464,0.44345473277479375,0.9905793038314767,,,,,,,,,,,,,,1214.9667213330715,4.605179745759542e-15,9.675199466911553e-16,0.0
9,4.436360830149667e-19,1.460763153269712e-18,2.2848270787858354e-18,3.1911572568446792e-18,4.24797250436495e-18,4.548897877774456e-19,1.5966081396190171e-18,2.5057380153031324e-18,3.537024270098183e-18,4.7528270959568e-18,1.1291684575051834e-18,2.5083945742262854e-18,4.034004555221474e-18,5.968209676971803e-18,8.962615877957032e-18,7.515823500375189e-19,2.492853856924502e-18,4.063333575976117e-18,6.05272178754063e-18,9.123218928471682e-18,0.3926012662411832,0.480724020081834,0.5683000282352759,0.6514276896187537,0.7424899839201553,0.41708809240004396,0.5214412335266913,0.6204989067614984,0.7108504505118654,0.803251090147589,0.22888562804661147,0.27283771095109094,0.3256458852345959,0.4263590885509015,0.9476092039344127,0.22640007328056325,0.26962618521375975,0.32131061439246644,0.4193457705711113,0.9848156128209532,,,,,,,,,,,,,,1215.0202060445038,2.964165676562852e-15,1.4617968925763004e-15,0.0
